fid,lat,lon
1,52.20461199477018,6.812033987675237
2,52.20312207564837,6.812785157938029
3,52.20329313704867,6.814886161292382
4,52.20324691752982,6.815211294207273
5,52.20339232167083,6.815276128437818
6,52.20476633643128,6.814940451206866
7,52.20461199477018,6.812033987675237
