fid,lat,lon
1,52.20327621280135,6.651861088862661
2,52.20305889911912,6.652446200362392
3,52.20286729101885,6.652842974970801
4,52.20239074682522,6.653111014814201
5,52.20175640401605,6.653384429826672
6,52.20195849242329,6.654487577328158
7,52.20306584635964,6.654948623079695
8,52.20337424873053,6.65492850709128
9,52.20398205539478,6.653738257536124
10,52.20452831451873,6.652432660152878
11,52.20450912716998,6.652357994446321
12,52.20399666877886,6.651981852973032
13,52.20371741102728,6.651546990978179
14,52.20336149669263,6.6511218074161
15,52.20327621280135,6.651861088862661
