fid,lat,lon
1,52.18759948560123,6.692112887845607
2,52.18750831258872,6.693079572084804
3,52.1873838518887,6.693310392132479
4,52.1871884157709,6.694171148736013
5,52.18703860182627,6.694960529888496
6,52.18765294581802,6.69532396710244
7,52.18747570687506,6.696397868958741
8,52.18836097345821,6.697361282155521
9,52.18908657110041,6.695230448062088
10,52.1893040730943,6.692496104588505
11,52.18888881330475,6.69213771598759
12,52.18838595669389,6.691974490787373
13,52.18759948560123,6.692112887845607
