fid,lat,lon
1,52.2138288403879,6.629679020357424
2,52.21376200031111,6.633222046242362
3,52.21377126171944,6.633492049602072
4,52.21385566210862,6.633877205929844
5,52.21468509755604,6.634909522172832
6,52.2156384546367,6.635367377075124
7,52.21635885677605,6.634282468119849
8,52.21677053631753,6.634196334971476
9,52.21760173579802,6.632217556298499
10,52.21769732568187,6.630936153729225
11,52.21731613492589,6.630257259688761
12,52.21774556251512,6.629457584736165
13,52.21797706619132,6.627561472412014
14,52.21657421793155,6.626627519772508
15,52.21483739507791,6.626287353552556
16,52.21460722364508,6.626486180853998
17,52.2138288403879,6.629679020357424
