fid,lat,lon
1,52.18638750924639,6.690017050939283
2,52.18590235984178,6.689811060538826
3,52.18550883537679,6.691885618461216
4,52.18592140105407,6.691688293171567
5,52.18656362848307,6.691434422107296
6,52.18666285052613,6.69146400092645
7,52.18738280446937,6.69192766629507
8,52.18800020217089,6.691847902766308
9,52.18888790340431,6.688500778347819
10,52.18805397030224,6.687624624816612
11,52.18781285743216,6.688045825762494
12,52.18727880912102,6.687303909682283
13,52.18638750924639,6.690017050939283
