fid,lat,lon
1,52.17140944534412,6.735796167516332
2,52.17189913253375,6.735156154992595
3,52.17261956280161,6.733556672335792
4,52.17377605049283,6.73284514177702
5,52.1744722625538,6.731382091283384
6,52.17324362671,6.729242308492649
7,52.1733972469014,6.730484887147998
8,52.17283950951079,6.730177597048652
9,52.17204001283483,6.730884013140055
10,52.17158928015375,6.731978474630131
11,52.1718299318224,6.73255960052024
12,52.17096247779433,6.734926369596444
13,52.17097153607137,6.736018088050022
14,52.17140944534412,6.735796167516332
