fid,lat,lon
1,52.1947038663065,6.838873062828665
2,52.19396904724441,6.838106276593399
3,52.19144819155414,6.836926782033876
4,52.19128439198154,6.837679300268881
5,52.1913911661349,6.837919788158084
6,52.19108227860116,6.838796101121039
7,52.19084956353481,6.838849576019648
8,52.19068007683722,6.838869259233347
9,52.1905653173072,6.839568158136238
10,52.1928785276513,6.841379605203784
11,52.19318500611331,6.841237963391704
12,52.19395639812543,6.841986001992826
13,52.1947038663065,6.838873062828665
